item,item_count,iterations_count,time_in_nanoseconds
397617,1009,10,693
777687,1010,13,1015
531415,1011,13,958
606829,1012,10,1003
910410,1013,10,744
508750,1014,13,1659
163808,1015,11,863
504090,1016,12,808
497367,1017,13,964
978515,1018,12,966
624162,1019,11,1363
270320,1020,12,955
912107,1021,12,1239
915606,1022,12,814
943401,1023,12,774
942274,1024,14,561
265038,1025,15,1144
145437,1026,12,1265
462463,1027,13,1398
989388,1028,10,783
771194,1029,14,1194
25845,1030,13,1796
68921,1031,12,1473
693881,1032,12,1108
97839,1033,10,1215
67,1034,12,1123
118749,1035,13,782
540671,1036,10,1172
479987,1037,12,801
362872,1038,10,649
983854,1039,11,879
965926,1040,11,639
90090,1041,10,645
202722,1042,11,707
444247,1043,15,2967
577190,1044,11,1861
365069,1045,13,1342
552544,1046,11,1004
523184,1047,11,726
722541,1048,12,1226
77130,1049,10,763
623086,1050,11,1079
165103,1051,10,808
765759,1052,11,759
559096,1053,15,2053
307358,1054,13,1412
875182,1055,14,1445
148344,1056,12,1171
716341,1057,14,1742
413928,1058,12,922
302612,1059,13,1500
825261,1060,13,1050
528991,1061,11,856
615256,1062,10,819
729827,1063,11,622
345009,1064,11,674
87851,1065,10,723
330661,1066,12,697
227358,1067,14,1121
111731,1068,14,858
793893,1069,11,751
550562,1070,12,691
221269,1071,12,315
909572,1072,11,915
300996,1073,14,663
777806,1074,13,696
720974,1075,13,2497
439,1076,13,1417
812457,1077,11,1248
860230,1078,13,891
777298,1079,12,275
568290,1080,12,1532
329780,1081,12,887
418842,1082,10,998
669393,1083,14,1492
487808,1084,11,912
165251,1085,12,1802
763580,1086,11,726
625586,1087,10,997
534584,1088,12,1295
680137,1089,13,18080
965268,1090,13,1211
186299,1091,12,1544
588473,1092,10,816
485318,1093,13,1309
553329,1094,11,649
49370,1095,10,899
130044,1096,11,1546
62888,1097,13,1074
752027,1098,14,1358
380110,1099,11,925
202283,1100,13,1924
399614,1101,10,855
801028,1102,11,793
880181,1103,13,1165
152224,1104,11,790
1941,1105,15,960
82140,1106,10,710
557938,1107,11,862
9158,1108,13,894
676337,1109,9,766
650564,1110,11,735
313786,1111,15,2087
779740,1112,11,964
392105,1113,12,1472
997274,1114,14,1546
323324,1115,11,632
401176,1116,13,1195
547552,1117,16,1735
966771,1118,12,905
779115,1119,12,1003
618280,1120,12,1429
178460,1121,10,1074
233767,1122,13,1153
311209,1123,12,776
780691,1124,14,1454
321348,1125,13,1330
997509,1126,15,1479
371793,1127,12,1119
12158,1128,11,825
91322,1129,10,1010
655527,1130,13,1179
470369,1131,11,825
905803,1132,10,856
842579,1133,15,2050
159649,1134,10,696
132355,1135,10,598
100508,1136,13,1748
