item,item_deleted,item_count,iterations_count,time_in_nanoseconds
391156,true,9282,13,1877
504113,true,9281,14,1391
780382,true,9280,14,1742
817066,true,9279,14,1317
620801,true,9278,7,1450
570152,true,9277,14,1816
529093,true,9276,15,1734
144468,true,9275,8,1699
496453,true,9274,9,13329
19520,true,9273,15,1776
105448,true,9272,13,1425
84927,true,9271,12,1622
272814,true,9270,14,1403
357482,true,9269,8,1390
135580,true,9268,11,1014
383130,true,9267,11,1509
567745,true,9266,11,1801
832240,true,9265,11,1577
422831,true,9264,12,2074
134581,true,9263,13,756
10705,true,9262,16,2326
112188,true,9261,15,1958
816971,true,9260,13,1346
115694,true,9259,14,1000
587272,true,9258,13,1207
775491,true,9257,12,1781
972876,true,9256,14,1913
230789,true,9255,13,1689
511006,true,9254,15,1687
727889,true,9253,11,1086
946543,true,9252,5,1382
996428,true,9251,13,1338
637499,true,9250,14,2118
903212,true,9249,13,1660
169100,true,9248,15,1810
974664,true,9247,13,1604
219139,true,9246,13,1578
420915,true,9245,9,1184
648509,true,9244,11,1129
270844,true,9243,15,1431
534909,true,9242,14,1629
850917,true,9241,13,1223
42022,true,9240,15,2178
940134,true,9239,11,1280
20933,true,9238,10,1279
853858,true,9237,10,1065
38091,true,9236,15,1071
945151,true,9235,12,1270
775303,true,9234,14,1089
558531,true,9233,10,1977
946902,true,9232,13,638
229969,true,9231,10,956
982713,true,9230,15,1303
975557,true,9229,13,1166
737604,true,9228,14,1810
788294,true,9227,15,1523
631752,true,9226,15,1695
589201,true,9225,14,1419
238731,true,9224,13,1307
876966,true,9223,13,1511
946734,true,9222,11,265
222587,true,9221,12,1266
972599,true,9220,14,734
131060,true,9219,15,1299
431051,true,9218,11,1884
40217,true,9217,10,1023
828644,true,9216,13,1117
708140,true,9215,14,1379
588980,true,9214,14,607
783431,true,9213,15,1709
32251,true,9212,9,984
616514,true,9211,14,1839
401264,true,9210,13,1278
448728,true,9209,15,1877
924733,true,9208,12,1071
307358,true,9207,10,926
560528,true,9206,15,1160
870789,true,9205,12,1628
46090,true,9204,15,1102
612475,true,9203,14,1174
236082,true,9202,14,1266
576349,true,9201,12,1273
736036,true,9200,13,1099
304552,true,9199,14,1373
56499,true,9198,12,1221
401715,true,9197,15,915
569995,true,9196,12,1188
719730,true,9195,12,1430
28435,true,9194,13,1716
568040,true,9193,10,789
264149,true,9192,11,1399
100458,true,9191,13,1578
820019,true,9190,12,1525
703632,true,9189,14,1471
357776,true,9188,13,1157
335171,true,9187,9,1149
716341,true,9186,13,1034
412608,true,9185,13,980
227070,true,9184,13,1102
657107,true,9183,13,1534
116086,true,9182,14,1474
966125,true,9181,12,1473
984204,true,9180,14,1140
707968,true,9179,14,688
415311,true,9178,12,923
881187,true,9177,13,1721
767922,true,9176,14,1347
939385,true,9175,12,1632
293172,true,9174,14,1391
802894,true,9173,7,1319
422051,true,9172,13,905
661565,true,9171,13,1241
105596,true,9170,13,1210
409411,true,9169,12,1040
919812,true,9168,13,1246
531233,true,9167,13,1162
926831,true,9166,13,1063
537501,true,9165,13,1322
407691,true,9164,12,754
486895,true,9163,16,2107
435708,true,9162,14,1374
603122,true,9161,14,1760
223709,true,9160,16,1458
550303,true,9159,14,1381
502577,true,9158,15,1404
428532,true,9157,14,1729
341995,true,9156,9,1436
923079,true,9155,10,1499
517912,true,9154,14,1462
646017,true,9153,14,1387
59251,true,9152,12,1612
864243,true,9151,14,1575
935234,true,9150,13,1405
357736,true,9149,12,1713
999083,true,9148,14,1864
336082,true,9147,11,1327
285745,true,9146,14,1509
739280,true,9145,11,1467
811476,true,9144,13,1905
262057,true,9143,11,1363
319075,true,9142,10,1621
39895,true,9141,15,1655
512990,true,9140,11,1414
37915,true,9139,15,1449
267460,true,9138,12,1473
627321,true,9137,13,1480
785016,true,9136,13,1265
630381,true,9135,14,975
742348,true,9134,11,1117
477357,true,9133,14,2239
368268,true,9132,14,1877
328942,true,9131,11,1338
389837,true,9130,14,1405
250370,true,9129,14,1662
81834,true,9128,13,1369
975307,true,9127,11,1570
431974,true,9126,13,1717
381352,true,9125,12,1903
98174,true,9124,13,1521
880774,true,9123,14,1933
308118,true,9122,10,1536
814271,true,9121,12,1956
734588,true,9120,12,1907
11497,true,9119,13,1101
175518,true,9118,14,1900
444873,true,9117,13,1297
636719,true,9116,13,1240
327169,true,9115,12,1423
225367,true,9114,13,1353
917918,true,9113,14,1740
778501,true,9112,13,2003
551752,true,9111,12,2019
637603,true,9110,13,1033
472152,true,9109,12,1668
936566,true,9108,11,1255
141029,true,9107,14,1336
349762,true,9106,12,1186
282737,true,9105,15,1498
399679,true,9104,13,1369
59819,true,9103,14,1542
590049,true,9102,13,1737
225955,true,9101,15,1128
346118,true,9100,11,1690
25342,true,9099,13,1499
661021,true,9098,14,2133
70644,true,9097,13,1487
433782,true,9096,11,1157
161263,true,9095,16,1556
272436,true,9094,12,1098
779032,true,9093,14,1180
948518,true,9092,13,1320
500456,true,9091,15,1764
181559,true,9090,15,2374
921152,true,9089,12,1843
829594,true,9088,11,1560
70286,true,9087,11,1071
469769,true,9086,14,1170
561463,true,9085,12,1724
780878,true,9084,15,2052
451132,true,9083,13,1568
467413,true,9082,15,1501
672127,true,9081,13,1618
901783,true,9080,13,1414
351136,true,9079,9,1047
743399,true,9078,15,1375
762164,true,9077,14,1435
239231,true,9076,13,1358
393541,true,9075,12,1138
837198,true,9074,12,1721
15626,true,9073,13,1478
216563,true,9072,13,1561
233757,true,9071,14,1181
118337,true,9070,12,1598
907541,true,9069,12,2321
644590,true,9068,14,1473
481854,true,9067,14,1740
491991,true,9066,13,1487
399407,true,9065,11,1957
926342,true,9064,13,2027
548576,true,9063,15,1728
869041,true,9062,12,1467
100942,true,9061,12,1994
379738,true,9060,14,1501
93452,true,9059,11,1411
718965,true,9058,14,1808
337009,true,9057,5,2315
410679,true,9056,12,2049
127580,true,9055,15,1199
238552,true,9054,14,1437
284353,true,9053,14,1490
870012,true,9052,11,1438
633516,true,9051,11,1402
207056,true,9050,14,1732
778609,true,9049,12,1521
869942,true,9048,12,477
873954,true,9047,14,1449
86301,true,9046,13,1452
538437,true,9045,13,1387
194971,true,9044,14,1789
64488,true,9043,13,1681
487734,true,9042,14,1170
408011,true,9041,13,2368
654830,true,9040,15,2556
863457,true,9039,14,2148
621369,true,9038,11,1372
79,true,9037,14,2225
832463,true,9036,10,1593
38262,true,9035,15,2055
740671,true,9034,14,1899
465751,true,9033,12,1611
309049,true,9032,13,1558
236099,true,9031,10,1598
993087,true,9030,14,2069
66932,true,9029,11,1838
793779,true,9028,12,1918
474387,true,9027,11,1981
692727,true,9026,13,2058
873878,true,9025,11,1659
172899,true,9024,14,1868
847578,true,9023,12,1210
478584,true,9022,15,1837
41352,true,9021,15,1400
635711,true,9020,14,1449
572601,true,9019,14,2070
993547,true,9018,14,1580
461183,true,9017,12,1934
771018,true,9016,11,2278
416705,true,9015,13,2232
90841,true,9014,14,1831
474621,true,9013,15,1561
844069,true,9012,13,1392
53578,true,9011,14,1463
633583,true,9010,12,1604
191742,true,9009,14,1702
58713,true,9008,13,1321
138890,true,9007,15,1925
779631,true,9006,14,1826
217153,true,9005,15,1598
129479,true,9004,15,1729
701099,true,9003,15,2185
430676,true,9002,13,1560
439408,true,9001,12,1336
467908,true,9000,15,1361
154377,true,8999,15,1486
961055,true,8998,13,1663
14598,true,8997,13,1612
875363,true,8996,13,1390
248962,true,8995,13,1575
108648,true,8994,13,1547
896040,true,8993,14,1633
665633,true,8992,13,1785
106625,true,8991,14,786
561472,true,8990,12,1734
932230,true,8989,12,1919
372546,true,8988,13,2006
170676,true,8987,10,1501
797916,true,8986,11,1602
125860,true,8985,15,1251
593002,true,8984,12,1497
998748,true,8983,11,1238
256080,true,8982,13,1397
645254,true,8981,14,1501
335908,true,8980,9,1514
422972,true,8979,9,1576
525802,true,8978,14,1465
721595,true,8977,14,1450
728719,true,8976,13,1568
927586,true,8975,13,1626
587101,true,8974,14,1483
183908,true,8973,14,1943
87642,true,8972,12,1546
321630,true,8971,13,1524
632083,true,8970,14,1275
47928,true,8969,13,1943
176828,true,8968,14,1841
120334,true,8967,12,1657
4605,true,8966,16,1856
520804,true,8965,15,2744
390788,true,8964,13,1588
919891,true,8963,13,1489
677760,true,8962,11,1895
527585,true,8961,7,1950
67081,true,8960,12,1501
751688,true,8959,14,1541
299809,true,8958,12,2234
